YorubaWords,PartOfSpeech
" qbe alata. v. and i. yan layansė, bò pelepele.", n
" iriju, iranşe, olutoju ile tabi oko.", n
" işę olutoju, işe iriju.", n
" igi. v. and i. te-bọ, lẹmó, fimo, kàn-mó.", n
" lilęmó, fà motimoti. Stift, adj. lile, le, lafojudi.", adj
 plorùn lile., adj
" and i. kiwò, funki; fin. Stigma, n. ami ęgàn.", v
 şe ami egan si., v
" and i. mu dakę, pa-lenu", v
 abikú; bibi oku, adj
" idakę, idakę roro. Stilts, n.pl. agere, mamápărá. Stimulate, v. rú, fi nkan gun,", n
" itani, oró. v. and i.", n
" hawo, awun enia.", adj
" õrun buburu. and i. rùn, dibaję. v.", n
" alà. v. da-duro, fi ālà si.", n
" owo işę. Stipulate, v. and i. se ipinnu,", n
" ipinnu, adehun, ajomo.", n
" irusoke, ariwo. and i. rú, dide, mú, gbe v.", n
 oko asa lati fi gun, n
" ipa abéré. v. and i. ran, ko, sopò, dapò.", n
" ev. a fi pamo, iti, isura oja; kukuté: omi-", n
 ode., n
" ibosę. Stocks, n.pl. àbà ti a fi nkan", n
 işiro ohun oja., n
 and i. ko ina., v
" inu, ikun.", n
 okuta. v. so li okuta., n
" işę okuta. Stony, adj. ibi okuta, lile bi", n
" apoti ijoko, apoti ęsę. Stoop, v. and i. bère, teriba,", n
" idaduro, ise. v. and i. daduro, se.", n
 idaduro., n
" adikò, idęnu. Store, n. opolopo. işura, àba.", n
 olutoju ile ipale, n
" iji, efufu lile, ikolu.", n
" itan, irohin, ihin.", n
" arohin, asqtan.", n
" le, lagbara, lóra ; sanra.", adj
 laiya., adj
 şagidi., adv
" ohun idana, ilé gbi- gbona.", n
 to lesęsę., v
 and i. yakata ese rin., v
" şina, rin kakiri. Straggler, n. aşina, arinranhun- ranhun.", v
" tàra, to, laiwo, ganran.", adj
 and i. mu-to., v
" lojukanna,", adv
" and i. sé, gbà, yó.", v
 asé., n
" iye-meji, ihágaga.", n
 eti-okun.., n
" àjeji, şàrà.", adj
 li ona ajeji., adv
" alejo, ajeji.", n
" fún-pa, lọlọrùn. Strap, n. awọ teré ideru. v. di,", v
" arekereke, etan, ogbon ero.", n
 etan., n
 igi agbado tabi bàbà., n
" yapa, sonu, şina kiri.", v
 àwọ tętętę oniruru., n
 odo şişan. v. and i., n
" ona igboro ilu, ita.", n
" agbara, ipa.", n
 and i. fun li, v
" lagbara, yara, mura, nitara.", adj
" itenumo, ikiyesi, agba- та.", n
" and i. nà, fagùn. n. ind, ifagun.", v
" ohun inara le, ibusun eleghę kan.", n
. tan ka kiri., v
 mu ogiri., adj
" ikakò, pro féré, ifunpo.", n
 inaga ęsę. v. and i., n
" ija, asò, gbolohun aso.", n
" so ipanpá, iko işe silę. v. and i. lù.", n
 aluni., n
 iyanu., adj
" okun tınrin. v. and i. sin, fun lókùn.", n
" le, şoro.", adj
 nkan tōró. v. and i. bọ-, n
"pl. inà, oniruru ila, pasan.", n
 odomodekonrin., n
" ba-ja, lakaka, koju ija si, fi agbara şişe, ha- gbiyanju.", v
" ilu, îna, ila tinrin. v. fi owo pa jeję.", n
 irinkiri. v. and i. rin kakiri., n
" le, lagbara, nipa, lera.", adj
" ibi giga, ilu-odi.", n
 şinşin., adv
" ikolé, qnà.", n
" igbivanju. v. jagudu, ba-gbiyanju, şa- gbara, şeroju.", n
" fi igberaga rin. Stubble, n. idi poroporo agbado", v
" agídi, aigboran, lile.", adj
 ni igbeleke., adv
 onini ewu., n
" akówe, eni ile iwe.", n
" lapon iwe, nironu, nifojusi.", adj
" ibi iwe, ibi ikawe; ifiyesi. v. and i. kó, kà, se- aşaro, fiyesi.", n
" ohun-èlo, ęrù; asp. v. and i. fi-kun, kì, ję ajęki.", n
" and i. kosę, kosę polu dura.", v
" ohun ikosę, idugbolu.", n
" kukute, idi igi akeku, gbòngbo.", n
" fi pará ya lenu, ti lati pavera.", v
 mú rán lati dàgbà., v
" mu-gò, sọ di ong), gba ni ye.", v
" niyanu, nişişę. ninihà.", adj
" gò, fà, wawo, lora, siwere.", adj
" igò, ongò, ifà, ilora, iwere.", n
" igba ni iyè, iraniye. Sturdy, adj. lile, nila, jara.", n
 and i. kololo., v
 akololo., n
" niwa, şenia, fanimora. Subdivide, v. tun ipa pin nipa.", adj
" sé, segun, hori. Subject, n. omo-ehin eniti nsin,", v
" iforibale, iteriba.", n
" şęgun, te loriba. Subjugation, n. işęgun, itę. loriba.", v
" giga, ni plá.", adj
" nisalę okun. Submerge, Submerse, v. ri ninu", adj
 iri ninu omi., n
" iteriba, iforibalę, iręsilę.", n
" and i. farabalę,", v
" iwa omo-ehin, iwalabę.", n
" be abetelę, bèwę se nkan buburu.", v
" and i. ko oruko si şe şleri, da owo si.", v
" eniti o kó oruko si şe eri, eniti o dawo si.", n
" ikowe si isalę, owo dida.", n
" titolehin, titele.", adj
" rẹlệ, rì, kú, dú.", v
" iranlowo, owo-ode.", n
" and i. wà, ję.", v
" ohun jiję, iwa lãyò.", n
" iwa, eda ara, prò, ohun ini aiye.", n
" diduro, lile, lagbara, loro.", adj
" mu-duro, mu- le, ti-lehin.", v
" agbipò eni, aropò eni. v. fi sipò eni, dipò.", n
" iropò, igbipo eni.", n
" ętan, mõkùn logbelę. Subterranean, adj. ti isalę itệ.", n
" larekereke, gbon. Subtlety, n. arikereke.", adj
 arikereke., adv
" nu-kuro, yo-kuro ninu ototo ohun.", v
 imukuro ninu ototo., n
pl. aghegbe phin ode, n
" iyipadà, iyipo, ibaję, ibişubu.", n
" yi-padà, yi-po, ba-ję,", v
 ona isalę ilę., n
" and i. ropò, ghipò,", v
" ona rere, alafia, āsiki; aşeyori.", n
" şerere, şe alafia, şe yori.", adj
 itele lesęsę., n
" aropò, agbipò eni.", n
" iranlowo, itilęhin.", n
" olurànlowo. Sucoulent, adj. kun fun oje.", n
" iyo ireke, iyò oyinbo.", n
 ireke., n
" şi-niyè, fi ero nkan si eni ninu.", v
" işiniye, ifisieni- ninu.", n
 ferosi ninu., adj
 eniti o pa ara rè., n
" ębę, ipè lejo. ejo, iparo aso, ifé. v. and i. ye, bámu.", n
" yiye, bibamu, nibadede.", adj
" awon omo-ehin, ateleni.", n
" asunni, afeni, elejo eni.", n
" fajuro, roju.", v
" fajuro, roju.", adj
" wu, binu, dakę.", adj
" yera, şubu labe,", v
 imi örùn., n
" omú. v. and i. mú, jomu, fi enu fàmu.", n
 fi omú fun., v
 omo enu omu., n
 ifàmu., n
 lojiji., adj
" moru, gbona.", adj
" iye owo, iye ohunkohun,", n
" akopo, akotan. adj. kukuru, laifagun titi.", n
 igba èrun., n
" gongo dke, ori oke.", n
" logan, lairotelę", adv
" fi aşe pè, pasę, pè.", v
pl. ēri-oşę., n
" and i. fi-sùn, pè lejo,", v
" and i. jiyà, je, gbà. Sufferable, adj. gbigbà, jijęwo.", v
" ighà, iję, iforiti,", n
" eniti o jiyà, alaisan.", n
" irora, ijiyà.", n
 and i. tó., v
 titó., n
 tó fun., adj
" and i. fún, fin.", v
" ifún, ifin.", n
" ilohunsi, ifohunsi. Suffuse, v. dà si, fi bo.", n
 ipè plá., n
" niyelori, didun didun, dara.", adj
 õrùn., n
 riran õrùn., n
 fifi örùn jo., adj
 ojo kini ose ti işe ojo isimi., n
 and i. yà nipa., v
 ohun ona ti a fi imo wakati nipa hihan ojiji, n
 iwo õrùn., n
" oniruru, opolopo.", adj
" lailōrùn. Sunlight, n. imolę õrùn.", adj
" ila õrùn, owuro, kutukutu.", n
" aşălé, aşewalę, iwo örün.", n
 wa li èkún şöle, v
 agbõrun., n
 riran örùn., n
"c. and i. gbe ję, gbemi, ję, jeun.", v
" şişegun, şişeni.", adj
 pipo ipo reks rekoja., n
" yo kuro lenu işę nitori ogbo, sisan owo nitori işę ti o ti se ri.", v
" iyokuro lenu işę nipa ogbo, owo ti a san bi ere işę.", n
" dara rekoja, dara leke.", adj
" işę irekoja, işe ti o leke, işe aşele.", n
" lode, loke, laiji.", adj
" didara leke, dara rekoja.", adj
 aşeleke., n
 ohun ileke., adj
" ju ti eda lọ. Superintend, v. and i. se olori, şe abojuto, se alakoso.", adj
 alabojuto., n
" daraju, gaju. Superiority, n. plaju, ipd giga", adj
 gigajulo., adj
 ju ti eda lo., adj
".. kowe leke, kowo lõke.", v
" akole. Supersede, v. ya-sapakan, şa", n
" igba ohun asan gbó, pran isin eké, isìn- kusin.", n
" teramo isin- kusin, aşeju.", adj
 işēlệ., n
" bojuto, hojuwo.", v
 ibojuto., n
 onję alę., n
" fi arekereke şetan,", v
" ajinilęsę, eletan, eleru.", n
" aisoro tę, rò, dera.", adj
" ifikún, ekún.", n
" elebe, abeni.", n
" and i. bè, tọrọ. Supplication, n. ebę, itoro.", v
" ękún, ifikún. v. mu-kún, fi-kún.", n
" itilehin, iranlowo. v. ti-lehin, ran-lọwọ, gbè.", n
" alatilehin, oluran-", n
" sebi, gbimò, rò.", v
" işəbi, igbimo, irò.", n
" tèri, kiwò, fi-pamo.", v
" iteri, ikiwò,", n
" alateri, alakiwò.", n
 soyún., v
 işqyún., n
 ibori gbogbo., n
" hori gbogbo, ga", adj
" owo asanle, abulè.", n
" daju, lagbara, nigbe-", adj
 itele şansan., n
" lailewu, nitõto,", adv
" onighowo, idaju.", n
 igbi okun., n
" oju-ode, oju oke.", n
 and i. mu je ajęki., v
 riru omi okun., n
" oniwora, onisegun.", n
 ile onişegun., n
" sonu, tete binu.", adj
" irò, ifura. v. and i. rò, se fura.", n
" segun, bori, şe akója.", v
" oruko apele, oruko idilo.", n
" re-koja, ta-yo.", v
 poju rekoja., adj
 ewu funfun ti alufa., n
" iyokun, élé.", n
" iyanu, ojiji. v. ba- lojiji, ba lairotelę.", n
" niyanu, şenihà.", adj
" ituba, itęriba, ijosin. v. and i. tuba, teriba, josin.", n
 yi kakiri., v
"pl. agbegbe, adugbo.", n
" iwo, iwo kakiri.", n
 wiwon ilę., n
" awonlė, alafojuto.", n
 wiwa laye., n
" and i. pé, wiwa laye.", v
 plojogigun lori ju, n
 gbigba sinu., adj
" se ifura si, rò si laini èri.", v
" so, sorò, fiko, yè kuro nipo.", v
" işiyemeji, iwa aişe daju.", n
" isor), idawoduro, iyokuro ninu işę.", n
 ifura., n
 nifura., adj
" rù, ghà, bó, mu-duro, faiyarán.", v
" onję, ohun jiję, itilehin.", n
" ighalowo işubu, iboni, onje.", n
 gba li oja., v
" and i. iyiara kiri,", v
" çiye alapandede, ona-ofun. v. and i. gbémi,", n
" ẹrè, ira pètèpété.", n
" lerè, nira.", adj
 okotutu., n
" opolopo, işu-opo,", n
 rusurusu., adj
 fi oja gba omo agbo ninu., v
" idari, itó, işe akoso.", n
" ahura, aşepe.", n
" ihura, işepe.", n
 ögün. v. and i., n
" and i. fi ówò gbalệ. Sweepings, n.pl. ilę gbigba, ēri", v
" onję didun. adj. didun ni itowò, ni rirun li", n
 and i. mu-dun., v
 alasodun., n
" olufe, ayanfę.", n
" didundidun, pelu adun.", adv
 wiwú. v. and i. wú., n
" wiwú ara, ekún odo.", n
 fi ögun bo., v
 and i. ya kuro loju ona., v
" yara, yasę kánkán. Swiftly, adv. kiakia, yarayara.", adj
" iyara, işekánkán. Swim, v. and i. fo loju omi jijin, lúwę, wè.", n
" omuwę, eniti nlú wè.", n
 iręję. v. and i. şe, n
 arenije., n
 elędę., n
 olutoju elędę., n
 ohun işire omode., n
 igi kekere. v. and i., n
 ēkan ti nkan nyi lori, n
 wu., adj
" idaku, oyi. v. daku.", n
" and i. sokalę le lori,", v
 ida., n
 eja onida., n
 ologun., n
 timotimo., adj
" pro kan, gbolohun", n
 iwe ilana ękę., n
" ami, aperę.", n
 apere., adj
" ti se aperę, fi şe", v
 iwontun-wonsin., n
" bibakędun, abanidaro.", adj
 ba şe daro., v
" ibaşedaro, iba-", n
 irępo iro ohun pupo., n
" ami arun, aperę.", n
 ajo igbimə işę Olorun., n
 pro meji tabi męta ti o ni itumo kanna., n
 ję bakanna pelu., adj
" akopo, akori.", n
 omi iyo oyinbo., n
" èro, ęro, imo, igbiro, ilana.", n
" gęgę bi ti ilana, leselesę.", adj
" agó, ibiti awon", n
" işo kekere. so-mò, di mộ.", n
" aga tabili, nkan ti ode", n
 aso itelori tabili., n
 opon ikowe si., n
" nidakę, laifphùn,", adj
 okùn ọkỳ., n
 òlo ọkỳ., n
" ogbon, oye, imò. Tactful, adj. logbọn ewé.", n
 imò ijagun ni ile tabi lori okun., n
 ailogbon éwé., adj
" omo opọlọ, ilènlégbe.", n
 ohun ti a so mó idi., n
" iru, apa phin ohun- kohun, ipari.", n
" onişona aşo wiwo, onirango.", n
" ibaję, abawon, àbakun. v. and i. ba-ję, şe abawon si.", n
" itan, alá; iye.", n
" iye osuwon kan,", n
 lèbùn., adj
" ídán, ögün işora.", n
 pro siso. v. and i., n
 kun fun iso- botiboti alarove., adj
" osoro, asqbotiboti.", n
" gùn, giga, şighonlę.", adj
 pra eran ti a ti yó., n
" and i. şedēdē, yę,", v
 iwe ofin ti awon Jü., n
pl. ěkánná eiyę odę., n
" tuju, moju. v. tù-loju.", adj
" towobo laiyę, dasi, lowosi.", v
" and i. run awo, se awo; fi örùn jo.", v
 mimò nipa ifo woba., adj
" koko, idiju, idamu, idaru.", n
" ikoko, odu nla igboni si, ibiti a fi omi pamo si.", n
" alawo, onişę awo.", n
" yo-lenu, danilara, fi nkan dani loju.", v
" ibinu lainidi, irunú.", n
" ilù, igunlobę, ifa-omi.", n
" ojabulę tinrin, okun івово.", n
 itanna kekere. adj. tinrin li ipari., n
 aşọ tité., n
 ejo inu., n
 gbaguds gbigbę., n
 ifa omi ti inu jade., n
" oda, atuko. v. fi oda", n
" fa, lora, pę.", adj
 epo buburu., n
" apata, asa; ami fun", n
 owo-oja rira., n
" ibaję, ahawon. v. .", n
 aşọ ti a fi oda kùn., n
" and i. pé, duropé. duro-lehin.", v
" mú, ta, kan, kikan.", adj
 işę., n
" onirù waja, irukę, fina.", n
 itowò. v. and i., n
 lailadun., adj
 adidùn., adj
" ago fifaya, akisa.", n
" pro lasan, isqkuso.", n
" onisokuso, olofofo.", n
" ipė ilu. v. şe ami si ara, bu-ila sara.", n
" oro ègàn, ifibu, igunloju. v. kègàn, se", n
" atunwi asan, isq", n
" ile oja oti, ile ero.", n
" aworan asan, age- han, psó-asan.", adj
 pupa lawo., adj
" owo-ode, owo-ilu. v.", n
" ewe olõrun didùn ti a fi şe nkan mimu, ti.", n
" ko li ękę, şi-niye.", v
" oluko, olukoni, akonileko.", n
 igi lile kan., n
 eran ajumo şişę., n
 omije., n
" kun fun omije, kun", adj
" to, yo-lenu.", v
 omú., n
" ti işę ona. Tedious, adj. ifàgunlo titi, pe,", adj
" and i. bimo, bisi, rè.", v
pl. awon ehin., n
 eniti o ti şe ileri lati fa sehin kuro ninu oti mimu., n
 işe ti a ran lati õkèrè wa nipa ero irin., n
 okun ero ijişę li õkèrè., n
 ohun ero isoro li õkèrè., n
 digi ifi wo ohun ona jinjin., n
" olofofo enia, ofofo. Temerity, n. aimewu, ilaiya,", n
" ipò, imuyę, igbà;", n
 iwa inu., n
" airekoja, aişeju, iwon.", n
" niwontun- wonsin, alairekoja.", adj
" iwon otutu tabi oru, igbona ara, iwà", n
" efüfulile, iji, efüfu nla.", n
" ni efüfù lile, ni irukerudo.", adj
 ile ti a ko fun isin Olorun tabi ti orișa; apa qtun ati osi ni iwaju ori lori parí ęrękę., n
" ti igba isisiyi, ti aiye yi, ti eda.", adj
 wiwa fun igba die., adj
" tę-si, jewo si igba iwa na.", v
" dan-wò, tàn se", v
" idanwò, ętàn.", n
" oludanwò, olutan, atanni.", n
" titan ni, wiwu ni.", adj
" ghigbà, didimu. Tenacious,adj.riró, fifà, titenumo.", adj
" ìró, ifà, itenumo.", n
 gbigbà ile fun akoko, n
 ayafa ilé lowo elomi., n
" sq, şetoju. v. dari si apakan, te si, toka si.", v
" idarisi, itęsi, ipa, ona, itoka si.", n
" and i. nawo si, fi-fun. n. idiyele, wiwá-aye. adj.", v
" pelepelę, jeje.", adv
 ikera., n
 işan ara., n
" itakun, qwo okùn ifamo.", n
" ibugbe, apakan ilé.", n
" iro, idurosi, itele, ęko", n
" itębo, şonso igi kan ti o wo inu ekeji.", n
" imo, ilotiti.", n
" igba, akoko ti a se", n
" ninà, lile, ifale, ifagun.", n
 ago., n
" gbiyanju, didanwo.", adj
" ękęwa, kewa.", adj
 nini ile tabi nkan, n
" loworoworo, lowowo.", adj
" àla, ipinle, ipinnu; igba, akoko, oro. v. pè ni oruko,", n
" lopin, ni alà.", adj
" and i. pinnu,", v
" ipinnu, ipala,", n
 opin ti ona oko., n
 ikan., n
" ibi iteju ilę, àtęgun.", n
 ti ilę aiye., adj
" ni iberu, lerù.", adj
" ni iberu, lékè.", adj
" dérùbà, pa-laiya,", v
" ilę, agbegbe ilu.", n
" èru, ipaiya.", n
" kuru, imopo.", adj
 pipadawa nijo, adj
" idanwo. v. dan-wo. Testament, n. iwe majemu, iwe", n
" akowe ifé sile funni lógun, oni-majemu.", n
 didanwo., adj
" ẹpòn, koro ẹpọn. Testify, v. and i. şe ijeri, jęri.", n
 iwe ijeri., n
" eri, ijeri.", n
 arun ipa., n
 okun tabi ęwon ifi di, n
" pro iwe, ipilęso pro.", n
 iwe lilo fun ękę., n
 iwon., n
 jù., conj
" dupę, sopé.", v
" kun fun opé, po", adj
" lailopé, laimore.", adj
" ębo-ope, ebo", n
" idupę, opé.", n
" ifi opé fun, işopé ore tabi anu.", n
" bēre, èkan, ibole, koriko ibole.", n
 yiyó omi didi. v. and i., n
 nã., adj
" ibi işire. Thee, pron. q, iwo.", n
 olè., n
" pro ipilę, ghongbo", n
" nigbana, li akoko na. Thence, adv. lati ibè lọ, lati ibè", adv
" akawe mimo,", n
" imo Olorun, imo işe enia si Olorun.", n
" idamoran ohun, ero.", n
" nibę nã, lphun. Thereby, adv. nipa eyi na.", adv
" nitorina, nitori eyi na.", adv
 ninu eyina., adv
 ti inu eyina., adv
 lori eyina., adv
 lori eyina., adv
 ohun ona idi., n
" nipon, ki, dilu.", adj
 and i. mu-ki., v
" igbòrò ilę, igbo.", n
" kiki, ninipon.", n
" olè, ajinilohun.", n
" and i. jale, ji nkan.", v
 itan., n
" kėbęku, ibo ika owo.", n
" rù, tinrin.", adj
" ohun, nkan.", n
" and i. rò, ronu, woye.", v
" ongbẹ, phàhà.", n
 pongbe., adj
" etala, metala.", adj
 ękętala., adj
" oşuşu, egún.", n
 sibę na.., adv
 psán tere., n
 egun., n
 kiki ęgun., adj
" jalę, jale ganran, patapata, toto.", adj
" ona, opopo.", n
" ni pipepipe,", adj
" bi, biotilęjepe.", conj
" iro, işebi, aniyan, ājd.", n
" laniyan, lajd, ni ero.", adj
 lainironu lai- làjo., adj
 ainironu., n
 egberun., adj
pl. egbegberun., adj
" erú, iwa ęrú.", n
 na; paka., v
" okùn tinrin, owu. v. fi okùn bộ.", n
" alogbo, şakùn.", adj
 ejo inu., n
" ilo, ikilo, idęruba.", n
" and i. kilo, deruba.", v
" ęta, męta.", adj
" oniko męta, ilopo męta.", adj
 pakà., v
" iloro ile, iloro enu", n
" lemęta, nigba męta.", adv
" ērè, ijèrè.", n
 lailere., adj
 lere., adj
" gún, han si goro. Thrive, v. se rere, gbilę, ru,", v
" ofun, ona ofun.", n
" lù, mi hẹlẹ.", v
" irora, irobi.", n
 ite oba., n
" awujo, apejo, opo", n
" funlofun, funlorun. Through, prep. ja, lati iha kan de ekeji, nipa.", v
" jalejale, vi ká.", prep
" and i. sọ, jù, fi soko.", v
" arùn ti enu ati ofun, efù.", n
" igun, ikolu. v. and i. bì, tỉ, gún.", n
" ariwo nla, gbi.", n
 atampako., n
" ilù wuwo, iro işubu nkan ti o wuwo. lù, mu-subu.", n
 àrá. v. and i. sán, n
 mànàmáná., n
 ke mana-, v
 ijo karun osę., n
" bayi, bi iru eyi.", adv
" ke ni igberi, bu li", v
 ēgbọn., n
" iwe ijewo, iwe ami.", n
" and i. rin ni ēginrin,", v
" işan silę, işan okun.", n
" imototo, işegiri,", n
pl. ihin., n
" ni imototo, mura giri, lęsęsę.", adj
" kóko, ide, idi. v. and i. dì, so, se kóko.", n
" ese, itolęsęsę. Tiger, n. eran abēkanná kan.", n
" há, fún, le, mó.", adj
" and i. fàle, múle.", v
 ni lilelile., adv
" lile, ìhá, ifún.", n
 awo ibole., n
" apoti owo. v. roko, ro ilę. conj. titidi, di,", n
" aroko, iroko, irole, işagbę.", n
 ewe kini ninu iwé., n
" alaroko, agbę.", n
 igi rirę fun ikolé., n
" igba, akoko. v. and i. wòn, diwọn, da igba, da akoko.", n
" agogo, eniti", n
" li akoko wiwę, ye", adj
 aribanije., n
" niberu, lojo.", adj
" teruteru, tojotojo.", adv
" iberu, ojo.", n
 tanganran., n
" àwo, adun. v. rę", n
 lewu., n
" ho, ro goro.", v
" onişona idę, alatunșe ikoko idę, alabulę di. v. and i. tun-se.", n
" and i. han goro, ro woro.", v
" onişona tanganran. Tinsel, n. ohun didán.", n
" àwo, irę li àwọ.", n
 kere., adj
" sonso, agogoro, opin, orika. v. and i. fi ebun fun; yi si apakan.", n
" motiyo, motipara.", adj
 orika ęsę., n
" ori oke; tiro. adj. titayo, daraju.", n
" aso wiwo, ideri, iweri, ohun osọ. v. and i. dá", n
" arę, agara. Tiresome, adj. didalaga, muni-", n
 idamęwa. v. dá, n
" oyè, oruko.", n
 iwe adehùn., n
 rerin jeję., v
" sonso, kikini.", n
 ti oruko nikan., adj
" si, sodo. Toad, n. opolo.", prep
" akara ti a yan loju ina, iyin.", n
" aşara, ăşă, ewe tábà. Tobacconist, n. alāşarà. elewe- taba.", n
" loni, ojo oni.", n
" omo-esè, eya ęsę.", n
" jùmo, lakopo, li egbe.", adv
" işẹ, lală. v. şişe, şe lala.", n
 onişę., n
 işòsó., n
" nişę, nilālā.", adj
" ami, eri.", n
" and i. wi, sọ, rò.", v
" gbigba, fifarada, jiję fun.", adj
" gbà, je fun, farada.", v
" igbà fún, ijé fún.", n
 owo ibode; ibode; iro agogo. v. and i. lu agogo, n
" iboji, ibi isinkú. Tombstone, n. okuta ti o sami iboji.", n
" lola, òla.", n
 ilu., n
" osuwon, 20 cwt.", n
" ohùn, ìró.", n
pl. emú alagbędę., n
" ahon, ède.", n
" alahon wuwo, akolòlo, odi.", adj
 ögün atun agbara şe., n
" li oru yi, loru oni. Tonnage, n. owo ęrù ọkỳ,", n
 kókó okùn ahón., n
" poju, pelu.", adv
" and i. gbà, mu, gbé.", v
" ohun ona, ohun elo, eniti o ba jowo ara rè lọwọ bi ohun elo lati şe nkan.", n
 ehin., n
" riro ehín, ehin", n
 lailehín., adj
 itahin., n
" ladùn, dùn.", adj
" okè, gongo-okė: ogo ti omode fi nşire. v. bo molę lokė.", n
" fì lokè, wuwoju lokè.", adj
" işaperę ibi kan,", n
 and i. subu lule., v
" yiyi isalè sokė, ni rudurudu.", adj
" ètufu iná, iná igi atebopo.", n
" idáloro, oró, iyo- lenu. v. dá-loró, yo-lenu.", n
" adaniloró, ayo- nilenu.", n
" efufu nla, iji.", n
" eja ojiji, ero ibon ti nfo oko ninu omi.", n
" kura, keti.", adj
" ikura, iketi.", n
" agbara ojo. Torrid, adj. gbę, gbona.", n
" awun, ijapa.", n
" ni ilopo, lare- kereke.", adj
" oró, irora, idaloró. v. da-loró.", n
" and i. fi-soko, bisiwa- bisęhin.", v
" nkan kekere, eni kekere. Total, n. apapo, àròlù. adj. gbogbo.", n
" lototo, patapata, lakotan.", adv
" fidügbè, tagbọngbọn, mi.", v
" ifowokan, imo, ifo- woba. v. and i. kan, to,", n
 ojuku ibon., n
" niti, nitori, nipa ti. adj. fifa li ọkàn.", prep
" kikanra, kanra. Tough, adj. yi, le, lagbara; şagidi.", adj
" irin ajo, irinkiri.", n
" èro, alarinkiri. Tournament, n. iru ere nla kan.", n
 ohun elo lati fi, n
 ětú okùn ògbộ. v. fi okün fa ọkỳ., n
 aşq inura., n
" ile işó giga, ile eşó.", n
" ilú, awọn ara ilú.", n
 akede ilú., n
 awon ara ilú., n
" agbegbe, sakani, ilu.", n
 ohun işire omode., n
" àmi, apērę, itosę. v.", n
" ipa ona, àmì. to-lehin, lepa, sami si.", n
 lainipa ona., adj
" sakani ile; iwe kekere, aşaro kukuru.", n
" kikóso, kikoni, rorun lati ko.", adj
" dwò, qja tita, işowo, itaja. v. and i. şowò, taja, raja.", n
" itan atowodowo, ofin atowodowo.", n
 ti ofin atowo-dowo., adj
" gba-dulumỳ, ba loruko ję, soro odi si.", v
 òwò oja. v. and i., n
" jamba, pran ibinuję.", n
 loro., adj
 ipa ona odę. v. and i., n
 pataki., n
" onikupani, afinihan, olofofo, eletan.", n
" sonikupani. Tram, n. oko-ilę.", adj
" de ni şękęsękę, di-", v
" irin, alarinkiri. v.", n
" and i. fi ese te molę, fi irera te mole. Trance, n. ojuran, iran.", v
" lalafia, didakęję, ni isini.", adj
" alafia, irora, idakęję, isimi.", n
" and i. se, to. Transaction, n. işe, ęto.", v
" and i. tayo, bori, şe-ju, re-koja.", v
" itayo, irekoja, ijulo.", n
" titayo, rire- koja, jijulo.", adj
 ko iwe lati inu qkan si ekeji., v
 awoko., n
" gbe lati ibi kan lọ si ibi keji, gba lowo enikan fi le enikeji lowo.", v
 gbigba lowo eni file ekeji lowo., adj
" fi gun lagun ja. Transformation, n. iparadà, ipa- woda.", v
" ré-koja, desè, rú-ofin.", v
" irekoja, irufin, esè.", n
" arufin, elęşe, olurekoja.", n
 gbe kuro ninu pkò, v
" rirekoja, ti igba dię, laipę.", adj
" irekoja si iha miran, iwole lo.", n
" işikuro, iyipada lati ibi kan si ekeji.", n
" rirekoja, laipę, ti igba dię.", adj
" și nipo padà; şe ghedegbeyo, yi pro padà si odè mi.", v
" işipo padà, iyi. ropadà si edè mi.", n
 şi lati ibi kan lo si ekeji., v
 ikoja lo lati ipo kan si ekeji., n
 ran lati ibi kan lo si ekeji., v
 pa iwa kan dà si iwa keji., v
 imogāra., n
" mimogāra, didán.", adj
"l. and i. sèel. ru ni kuku, yo lo.", v
" și logbin, fatu lọ, și nipò kan lati gbin si ipò keji.", v
" işikuro nilu, ile- kuro ni ilu; oko ikonilo si ilu miran; ayo nla. v. şi- kuro ni ilu; yò rekoja, şe ariya.", n
" işinipò padà, ikonilo si ile ıniran.", n
 ipārò., n
" pa nipò dà, şipāro ipo, și nipò.", v
" işe paşiparò ipò, işinipò padà.", n
 yipadà di, v
 iyipadà, n
 ni idabu., adj
" okùn didę, idękùn. v. and i. dekùn, dẹ.", n
 ilękun ębiti., n
"pl. ohun oso, ९३०", n
 ohun-lasan., n
" irobi omo, itębi;", n
" irin àjo, ebi. v. and i.", n
" èro, alarinkiri.", n
" and i. re koja, la", v
 aiyederu., n
" opon, atę.", n
" alarekereke, dàlệ.", adj
" otę, iwa arekereke", n
 omi iyo didun., n
 irin ęsę., n
" otè, idalę.", n
 lote., adj
" işura, prò. v. fi sura.", n
 olutoju owo tabi işura eni., n
 ilé tabi ibi apoti isura., n
 apeję àse. v. and i., n
" pro iwe akoye nitori ohun kan, ihin.", n
" ilosi, ilo, iwa.", n
" adehun, ipinnu.", n
 lona męta. v. and i. sepo ni męta., adj
" igi. Tremble, v.mì, wariri, wá,", n
" iwariri mimì,", n
" ni yanilenu, ni", adj
 iwariri., n
" niwariri, niberu.", adj
" yàrà, ihò. v. and i.", n
 tę si., v
" iwariri, iheru.", n
" irekoja, eşę. v.", n
" olurekoja, eleşę.", n
pl. ikako irun ori., n
" idanwo, ipelęjo, iwadi.", n
 ohun onigun meta., n
 ti onigun męta., adj
 ti arailu kanna., adj
" eya, iru enia.", n
" wahala, iponju, isé.", n
